iter	Passed	Remaining
1030	53026	49837
1031	53083	49791
1032	53129	49735
1033	53188	49690
1034	53242	49641
1035	53291	49587
1036	53347	49540
1037	53395	49486
1038	53455	49442
1039	53505	49389
1040	53593	49372
1041	53647	49323
1042	53703	49275
1043	53751	49220
1044	53808	49174
1045	53863	49125
1046	53918	49077
1047	53970	49026
1048	54027	48980
1049	54073	48923
1050	54138	48884
1051	54193	48835
1052	54245	48784
1053	54311	48745
1054	54362	48694
1055	54419	48647
1056	54481	48605
1057	54544	48563
1058	54592	48509
1059	54660	48472
1060	54716	48424
1061	54775	48379
1062	54829	48330
1063	54883	48280
1064	54935	48230
1065	55001	48190
1066	55056	48142
1067	55116	48097
1068	55165	48043
1069	55233	48006
1070	55298	47966
1071	55348	47913
1072	55415	47875
1073	55473	47828
1074	55532	47783
1075	55585	47733
1076	55639	47683
1077	55693	47633
1078	55755	47590
1079	55802	47535
1080	55854	47484
1081	55905	47431
1082	55953	47377
1083	56003	47323
1084	56054	47271
1085	56111	47224
1086	56174	47182
1087	56229	47133
1088	56287	47086
1089	56340	47036
1090	56393	46985
1091	56440	46930
1092	56490	46877
1093	56546	46829
1094	56602	46781
1095	56656	46731
1096	56709	46680
1097	56759	46627
1098	56808	46573
1099	56858	46520
1100	56906	46466
1101	56963	46418
1102	57023	46373
1103	57077	46324
1104	57132	46274
1105	57193	46230
1106	57241	46175
1107	57294	46124
1108	57345	46072
1109	57404	46027
1110	57461	45979
1111	57518	45932
1112	57568	45879
1113	57638	45842
1114	57699	45797
1115	57757	45750
1116	57809	45699
1117	57865	45650
1118	57917	45599
1119	57968	45546
1120	58024	45498
1121	58074	45445
1122	58123	45390
1123	58174	45338
1124	58219	45281
1125	58269	45228
1126	58322	45178
1127	58373	45125
1128	58419	45069
1129	58466	45014
1130	58514	44959
1131	58571	44911
1132	58626	44862
1133	58684	44815
1134	58739	44766
1135	58791	44714
1136	58838	44659
1137	58889	44607
1138	58941	44555
1139	59007	44514
1140	59058	44462
1141	59117	44415
1142	59174	44367
1143	59232	44320
1144	59296	44278
1145	59355	44231
1146	59407	44180
1147	59465	44132
1148	59520	44083
1149	59579	44036
1150	59633	43987
1151	59682	43932
1152	59734	43881
1153	59785	43829
1154	59839	43778
1155	59890	43726
1156	59941	43673
1157	59989	43619
1158	60042	43568
1159	60089	43513
1160	60136	43457
1161	60198	43413
1162	60246	43358
1163	60303	43310
1164	60348	43254
1165	60409	43209
1166	60469	43163
1167	60537	43122
1168	60594	43074
1169	60644	43021
1170	60703	42974
1171	60757	42924
1172	60816	42877
1173	60863	42822
1174	60912	42768
1175	60966	42718
1176	61014	42663
1177	61065	42610
1178	61120	42561
1179	61168	42506
1180	61220	42455
1181	61270	42402
1182	61322	42350
1183	61373	42298
1184	61430	42249
1185	61486	42200
1186	61546	42154
1187	61595	42100
1188	61659	42056
1189	61716	42008
1190	61772	41959
1191	61823	41907
1192	61875	41855
1193	61922	41800
1194	61975	41749
1195	62027	41697
1196	62080	41646
1197	62134	41595
1198	62199	41552
1199	62258	41505
1200	62321	41460
1201	62372	41408
1202	62425	41357
1203	62482	41308
1204	62583	41289
1205	62639	41240
1206	62692	41189
1207	62739	41133
1208	62791	41081
1209	62843	41029
1210	62894	40977
1211	62943	40923
1212	63009	40880
1213	63059	40827
1214	63108	40773
1215	63174	40731
1216	63232	40682
1217	63298	40640
1218	63356	40591
1219	63407	40538
1220	63469	40493
1221	63524	40443
1222	63582	40395
1223	63639	40346
1224	63698	40299
1225	63755	40250
1226	63801	40194
1227	63848	40139
1228	63900	40087
1229	63963	40042
1230	64016	39990
1231	64067	39937
1232	64122	39887
1233	64185	39843
1234	64234	39788
1235	64304	39747
1236	64363	39700
1237	64416	39648
1238	64467	39596
1239	64525	39548
1240	64582	39499
1241	64634	39446
1242	64684	39393
1243	64743	39345
1244	64809	39302
1245	64873	39257
1246	64926	39205
1247	64985	39157
1248	65043	39109
1249	65090	39054
1250	65138	38999
1251	65200	38953
1252	65251	38901
1253	65299	38846
1254	65345	38790
1255	65396	38738
1256	65444	38683
1257	65503	38635
1258	65565	38589
1259	65625	38541
1260	65697	38501
1261	65755	38453
1262	65815	38405
1263	65866	38352
1264	65917	38299
1265	65970	38248
1266	66029	38200
1267	66091	38153
1268	66154	38107
1269	66206	38055
1270	66258	38003
1271	66310	37951
1272	66366	37901
1273	66415	37847
1274	66460	37791
1275	66515	37740
1276	66568	37688
1277	66624	37638
1278	66672	37584
1279	66724	37532
1280	66777	37481
1281	66831	37429
1282	66890	37381
1283	66958	37338
1284	67015	37288
1285	67070	37238
1286	67121	37185
1287	67171	37132
1288	67235	37086
1289	67296	37039
1290	67356	36991
1291	67408	36938
